title;=>centrality;=>subs;=>views;=>comments;=>country;=>topics
Nitraa B;=>1015.7000;=>803000;=>68015161;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Food
The Grimwade Family;=>1012.9300;=>220000;=>23529605;=>0;=>GB;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
RAVEN ELYSE;=>1012.6000;=>1590000;=>193713332;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Hobby
Channels/UCGuoCRYyOHK_0mXsbG62GXA;=>1010.7400;=>0;=>0;=>0;=>null;=>null
THE PRINCE FAMILY;=>1010.6500;=>6490000;=>1293346031;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
the McClure ALGORITHM;=>1010.5500;=>104000;=>3796234;=>0;=>US;=>https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
MAZELEE;=>1010.4400;=>1830000;=>285073489;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Health
Sam and Nia;=>1010.3700;=>2630000;=>1062975541;=>0;=>null;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Matt and Em Vlog;=>1010.2700;=>62000;=>17031809;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food
The Norris Nuts;=>1010.2300;=>4670000;=>1637735308;=>0;=>AU;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Roman Atwood Vlogs;=>1009.9500;=>15300000;=>5240132400;=>0;=>US;=>https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCoi7IDCX8dbGH_JTYJ4bDag;=>1009.8300;=>17;=>732;=>0;=>null;=>null
